date, pm25, pm10, o3, no2, so2, co
2023/2/4, 78, 63, 22, 21, 20, 
2023/2/5, 69, 75, 31, 23, 27, 
2023/2/6, 81, 88, 32, 26, 33, 
2023/2/7, 95, 87, 21, 26, 32, 
2023/2/8, 93, 89, 28, 25, 34, 
2023/2/9, 96, 99, 30, 27, 34, 
2023/2/10, 108, 101, 27, 29, 34, 
2023/2/11, 110, 104, 25, 30, 34, 
2023/2/12, 113, 104, 25, 30, 34, 
2023/2/13, 113, 104, 32, 29, 36, 
2023/2/14, 113, 105, 29, 29, 37, 
2023/2/15, 114, 105, 28, 28, 37, 
2023/2/16, 117, 103, 32, 28, 38, 
2023/2/17, 115, 94, 23, 27, 42, 
2023/2/18, 101, 94, 35, 27, 42, 
2023/2/19, 101, 95, 32, 28, 43, 
2023/2/20, 102, 91, 30, 28, 43, 
2023/2/21, 98, 96, 34, 29, 44, 
2023/2/22, 105, 103, 29, 31, 45, 
2023/2/23, 112, 101, 32, 30, 44, 
2023/2/24, 110, 95, 28, 31, 48, 
2023/2/25, 104, 87, 24, 30, 48, 
2023/2/26, 95, 87, 29, 29, 47, 
2023/2/27, 95, 86, 29, 28, 48, 
2023/2/28, 94, , , , , 
2023/3/8, 134, 92, 30, 26, 44, 
2023/3/9, 115, 89, 26, 28, 40, 
2023/3/10, 97, 81, 29, 26, 32, 
2023/3/11, 88, 87, 22, 29, 34, 
2023/3/12, 93, 92, 28, 31, 41, 
2023/3/13, 100, 100, 31, 31, 44, 
2023/3/14, 108, 89, 25, 27, 35, 
2023/3/15, 95, 87, 25, 24, 24, 
2023/3/16, 94, 93, 30, 24, 24, 
2023/3/17, 101, 92, 30, 24, 23, 
2023/3/18, 100, 85, 18, 23, 21, 
2023/3/19, 92, 87, 25, 22, 20, 
2023/3/20, 94, 95, 25, 22, 18, 
2023/3/21, 101, 104, 19, 23, 15, 
2023/3/22, 114, 95, 22, 22, 16, 
2023/3/23, 103, 87, 19, 20, 19, 
2023/3/24, 93, 88, 24, 20, 25, 
2023/3/25, 95, 86, 24, 21, 27, 
2023/3/26, 92, 88, 24, 21, 24, 
2023/3/27, 95, 95, 23, 21, 21, 
2023/3/28, 104, 94, 26, 21, 23, 
2023/3/29, 102, 82, 24, 20, 18, 
2023/3/30, 88, 88, 20, 20, 17, 
2023/3/31, 94, , , , , 
2022/10/1, 98, 68, 10, 7, 12, 8
2022/10/2, 100, 64, 19, 10, 11, 8
2022/10/3, 104, 59, 19, 11, 10, 7
2022/10/4, 95, 57, 19, 15, 6, 7
2022/10/5, 77, 57, 25, 53, 6, 6
2022/10/6, 85, 63, 25, 11, 7, 7
2022/10/7, 101, 62, 18, 11, 8, 7
2022/10/8, 91, 58, 18, 10, 10, 7
2022/10/9, 71, 58, 18, 10, 11, 7
2022/10/10, 79, 60, 17, 11, 9, 7
2022/10/11, 100, 56, 15, 11, 8, 6
2022/10/12, 95, 57, 15, 11, 11, 6
2022/10/13, 82, 59, 15, 10, 10, 7
2022/10/14, 85, 56, 17, 9, 12, 7
2022/10/15, 79, 58, 17, 12, 14, 10
2022/10/16, 87, , , , , 
2022/10/25, 117, 67, 27, 18, 18, 10
2022/10/26, 134, 62, 28, 22, 15, 10
2022/10/27, 111, 61, 28, 23, 14, 11
2022/10/28, 95, 70, 13, 25, 10, 11
2022/10/29, 128, 80, 12, 25, 14, 16
2022/10/30, 158, 74, 22, 25, 13, 12
2022/10/31, 149, 71, 21, 21, 13, 11
2022/11/1, 142, 70, 18, 13, 14, 10
2022/11/2, 135, 71, 18, 11, 15, 10
2022/11/3, 123, 76, 19, 14, 15, 12
2022/11/4, 146, 65, 21, 12, 13, 10
2022/11/5, 122, 67, 20, 9, 12, 11
2022/11/6, 128, 67, 22, 10, 14, 11
2022/11/7, 139, 70, 18, 12, 13, 11
2022/11/8, 141, 72, 12, 9, 11, 12
2022/11/9, 141, 77, 21, 10, 12, 12
2022/11/10, 154, 69, 21, 11, 12, 11
2022/11/11, 146, 66, 19, 11, 10, 9
2022/11/12, 135, 69, 14, 11, 11, 9
2022/11/13, 125, 67, 17, 11, 13, 11
2022/11/14, 126, 71, 19, 13, 17, 13
2022/11/15, 150, 68, 19, 13, 14, 10
2022/11/16, 144, 77, 22, 12, 15, 12
2022/11/17, 156, 81, 21, 12, 15, 13
2022/11/18, 157, 79, 17, 11, 13, 10
2022/11/19, 145, 57, 12, 8, 8, 8
2022/11/20, 102, 71, 21, 11, 12, 11
2022/11/21, 149, 66, 21, 11, 12, 10
2022/11/22, 138, , 11, 15, 9, 7
2022/12/6, 147, 78, 17, 12, 6, 10
2022/12/7, 147, 86, 18, 12, 10, 11
2022/12/8, 156, , , , , 
2022/12/11, 139, 67, 18, 12, 11, 9
2022/12/12, 129, 61, 15, 11, 11, 9
2022/12/13, 114, 59, 13, 11, 7, 10
2022/12/14, 101, 60, 18, 13, 9, 8
2022/12/15, 99, 61, 18, 13, 10, 6
2022/12/16, 101, 59, 18, 11, 6, 7
2022/12/17, 96, 66, 16, 8, 6, 7
2022/12/18, 120, , , , , 
2022/12/20, 105, 64, 19, 11, 6, 5
2022/12/21, 132, 67, 19, 12, 9, 6
2022/12/22, 148, 72, 18, 11, 9, 7
2022/12/23, 153, 68, 18, 10, 6, 7
2022/12/24, 150, 68, 19, 13, 5, 7
2022/12/25, 154, 68, 19, 12, 8, 7
2022/12/26, 143, 66, 21, 11, 10, 6
2022/12/27, 133, 63, 22, 11, 7, 9
2022/12/28, 127, 76, 22, 12, 9, 10
2022/12/29, 143, 73, 21, 12, 11, 10
2022/12/30, 128, 62, 21, 12, 12, 9
2022/12/31, 106, 63, 18, 13, 12, 10
2023/1/1, 131, 69, 20, 13, 12, 10
2022/7/1, 107, 57, 17, 13, 10, 7
2022/7/2, 96, 72, 12, 15, 11, 9
2022/7/3, 146, 67, 22, 15, 11, 9
2022/7/4, 123, 57, 15, 12, 10, 7
2022/7/5, 86, 51, 12, 10, 10, 6
2022/7/6, 73, 49, 11, 12, 11, 8
2022/7/7, 77, 33, 11, 17, 7, 7
2022/7/8, 69, 33, 11, 17, 7, 7
2022/7/9, 69, 35, 11, 16, 8, 8
2022/7/10, 70, 52, 13, 14, 10, 6
2022/7/11, 84, 52, 11, 13, 11, 7
2022/7/12, 85, 50, 12, 12, 7, 7
2022/7/13, 80, 53, 13, 13, 9, 7
2022/7/14, 83, 56, 12, 9, 12, 5
2022/7/15, 94, 61, 17, 8, 11, 7
2022/7/16, 92, 58, 18, 8, 9, 9
2022/7/17, 68, 55, 18, 10, 10, 8
2022/7/18, 74, 56, 19, 11, 9, 7
2022/7/19, 88, 74, 14, 12, 11, 9
2022/7/20, 123, 82, 14, 13, 12, 9
2022/7/21, 138, 62, 18, 9, 11, 9
2022/7/22, 98, 57, 13, 11, 10, 9
2022/7/23, 97, 61, 12, 14, 12, 9
2022/7/24, 107, 55, 12, 7, 12, 9
2022/7/25, 87, 55, 11, 7, 12, 9
2022/7/26, 87, 55, 11, 6, 11, 9
2022/7/27, 87, 55, 11, 7, 11, 9
2022/7/28, 87, , , , , 
2022/7/30, 87, 55, 11, 7, 12, 9
2022/7/31, 87, 55, 11, 7, 11, 9
2022/8/1, 87, 55, 12, 8, 11, 9
2022/8/2, 87, 57, 15, 9, 11, 7
2022/8/3, 100, 60, 15, 11, 11, 7
2022/8/4, 113, 60, 15, 11, 13, 6
2022/8/5, 113, 60, 15, 11, 12, 6
2022/8/6, 113, 60, 15, 11, 12, 7
2022/8/7, 113, 60, 15, 11, 12, 6
2022/8/8, 113, 60, 15, 11, 12, 6
2022/8/9, 113, 60, 15, 11, 12, 6
2022/8/10, 113, 60, 15, 11, 12, 6
2022/8/11, 113, 60, 15, 11, 12, 6
2022/8/12, 113, 60, 15, 11, 12, 7
2022/8/13, 113, 60, 15, 11, 12, 7
2022/8/14, 113, 60, 15, 11, 12, 7
2022/8/15, 113, 58, 15, 13, 12, 7
2022/8/16, 105, 59, 12, 16, 13, 7
2022/8/17, 100, 66, 13, 17, 13, 7
2022/8/18, 109, 63, 13, 16, 10, 7
2022/8/19, 100, 48, 14, 11, 8, 8
2022/8/20, 57, 43, 11, 7, 8, 6
2022/8/21, 45, 49, 12, 5, 9, 6
2022/8/22, 62, 57, 17, 15, 12, 8
2022/8/23, 82, 63, 18, 14, 11, 8
2022/8/24, 94, 63, 15, 12, 11, 8
2022/8/25, 104, 63, 15, 12, 11, 10
2022/8/26, 122, 59, 15, 11, 10, 9
2022/8/27, 88, 54, 15, 12, 8, 8
2022/8/28, 77, 56, 11, 13, 9, 7
2022/8/29, 81, 58, 18, 13, 10, 8
2022/8/30, 77, , , , , 
2022/9/1, 74, 60, 14, 9, 11, 9
2022/9/2, 93, 64, 14, 11, 12, 10
2022/9/3, 99, 65, 12, 12, 14, 9
2022/9/4, 112, 62, 15, 12, 12, 9
2022/9/5, 95, 63, 13, 11, 10, 8
2022/9/6, 90, 63, 15, 10, 9, 7
2022/9/7, 90, 59, 18, 12, 10, 6
2022/9/8, 83, 55, 14, 11, 12, 7
2022/9/9, 74, 59, 14, 11, 10, 10
2022/9/10, 89, 56, 13, 12, 8, 9
2022/9/11, 70, 55, 13, 11, 11, 9
2022/9/12, 74, 60, 13, 12, 13, 8
2022/9/13, 96, 64, 13, 11, 15, 7
